"genus","class_itis","family_itis","genus_itis","kingdom_itis","order_itis","phylum_itis","subkingdom_itis","class_tsn","family_tsn","genus_tsn","kingdom_tsn","order_tsn","phylum_tsn","subkingdom_tsn","species_itis","species_tsn","division_itis","division_tsn","infrakingdom_itis","subdivision_itis","infrakingdom_tsn","subdivision_tsn","subclass_itis","superdivision_itis","subclass_tsn","superdivision_tsn","variety_itis","variety_tsn","suborder_itis","subphylum_itis","suborder_tsn","subphylum_tsn","infraclass_itis","subfamily_itis","superfamily_itis","superorder_itis","superphylum_itis","infraclass_tsn","subfamily_tsn","superfamily_tsn","superorder_tsn","superphylum_tsn"
"Aphanizomenon","Cyanophyceae","Nostocaceae","Aphanizomenon","Bacteria","Nostocales","Cyanobacteria","Negibacteria","602","1099","1191","50","861","956108","956096",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cylindrospermopsis","Cyanophyceae","Nostocaceae","Cylindrospermopsis","Bacteria","Nostocales","Cyanobacteria","Negibacteria","602","1099","203689","50","861","956108","956096",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cylindrospermum","Cyanophyceae","Nostocaceae","Cylindrospermum","Bacteria","Nostocales","Cyanobacteria","Negibacteria","602","1099","1197","50","861","956108","956096",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dolichospermum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nodularia","Cyanophyceae","Microchaetaceae","Nodularia","Bacteria","Nostocales","Cyanobacteria","Negibacteria","602","1213","1225","50","861","956108","956096",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Raphidiopsis","Cyanophyceae","Rivulariaceae","Raphidiopsis","Bacteria","Nostocales","Cyanobacteria","Negibacteria","602","1229","1290","50","861","956108","956096",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arthrospira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arthrospira brevis","921",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calothrix","Cyanophyceae","Rivulariaceae","Calothrix","Bacteria","Nostocales","Cyanobacteria","Negibacteria","602","1229","1243","50","861","956108","956096",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gloeotrichia","Cyanophyceae","Rivulariaceae","Gloeotrichia","Bacteria","Nostocales","Cyanobacteria","Negibacteria","602","1229","1297","50","861","956108","956096",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rivularia","Cyanophyceae","Oscillatoriaceae","Lyngbya","Bacteria","Nostocales","Cyanobacteria","Negibacteria","602","862","870","50","861","956108","956096","Lyngbya rivulariarum","880",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
