"phylum","subphylum","class","subclass","order","family","genus","genus_new","authority","sp07","sp12","flag","note","link"
"Cyanobacteria","","Cyanophyceae","Nostocophycidae","Nostocales","Aphanizomenonaceae","Dolichospermum","","(Ralfs ex Bornet & Flahault) P.Wacklin, L.Hoffmann & J.Komárek, 2009",NA,"Dolichospermum; Dolichospermum circinale; Dolichospermum flos-aquae","","","http://algaebase.org/search/genus/detail/?genus_id=Z4af28bff1263ad75&sk=0"
"Cyanobacteria","","Cyanophyceae","Nostocophycidae","Nostocales","Aphanizomenonaceae","Nodularia","","Mertens ex Bornet & Flahault, 1886","Nodularia","Nodularia","","",""
"Cyanobacteria","","Cyanophyceae","Nostocophycidae","Nostocales","Aphanizomenonaceae","Raphidiopsis","","F.E.Fritsch & F.Rich, 1929","Raphidiopsis","Raphidiopsis; Raphidiopsis curvata; Raphidiopsis mediterranea","","",""
"Cyanobacteria","","Cyanophyceae","Oscillatoriophycidae","Oscillatoriales","Microcoleaceae","Arthrospira","","Sitzenberger ex Gomont, 1892","Arthrospira","Arthrospira","","","http://algaebase.org/search/genus/detail/?genus_id=c81faff710221cf5a&-session=abv4:CC2E5C920c81127EDFth25D6836A"
"Cyanobacteria","","Cyanophyceae","Nostocophycidae","Nostocales","Rivulariaceae","Calothrix","","C.Agardh ex Bornet & Flahault, 1886","Calothrix","Calothrix; Calothrix aeruginea","","","http://algaebase.org/search/genus/detail/?genus_id=H72f7bde74b4a1ec1&-session=abv4:CC2E5C920c81127EDFth25D6836A"
"Cyanobacteria","","Cyanophyceae","Nostocophycidae","Nostocales","Gloeotrichiaceae","Gloeotrichia","","J.Agardh ex Bornet & Flahault, 1886","Gloeotrichia","Gloeotrichia; Gloeotrichia echinulata; Gloeotrichia natans","","",""
"Cyanobacteria","","Cyanophyceae","Nostocophycidae","Nostocales","Rivulariaceae","Rivularia","","C.Agardh ex Bornet & Flahault, 1886",NA,"Rivularia","","",""
"Cyanobacteria","","Cyanophyceae","Oscillatoriophycidae","Oscillatoriales","Gomontiellaceae","Komvophoron","","K.Anagnostidis & J.Komárek, 1988",NA,"Komvophoron; Komvophoron breve; Komvophoron constrictum; Komvophoron skujae","","",""
"Cyanobacteria","","Cyanophyceae","Oscillatoriophycidae","Oscillatoriales","Oscillatoriaceae","Lyngbya","","C.Agardh ex Gomont, 1892","Lyngbya; Lyngbya contorta; Lyngbya limnetica; Lyngbya majuscula","Lyngbya; Lyngbya hieronymusii; Lyngbya limnetica","","",""
"Cyanobacteria","","Cyanophyceae","Oscillatoriophycidae","Oscillatoriales","Oscillatoriaceae","Oscillatoria","","Vaucher ex Gomont, 1892","Oscillatoria; Oscillatoria contorta; Oscillatoria limosa; Oscillatoria sancta; Oscillatoria tenuis; Oscillatoria utermoelaii","Oscillatoria; Oscillatoria limosa; Oscillatoria ornata; Oscillatoria princeps; Oscillatoria simplicissima; Oscillatoria subbrevis; Oscillatoria tenuis","","","http://algaebase.org/search/genus/detail/?genus_id=K9c79af078c938782&sk=0"
"Cyanobacteria","","Cyanophyceae","Oscillatoriophycidae","Oscillatoriales","Oscillatoriaceae","Phormidium","","Kützing ex Gomont, 1892","Phormidium; Phormidium granulatum; Phormidium minnesothense; Phormidium tenue","Phormidium","","",""
"Cyanobacteria","","Cyanophyceae","Oscillatoriophycidae","Oscillatoriales","Microcoleaceae","Planktothrix","","K.Anagnostidis & J.Komárek, 1988","Planktothrix; Planktothrix agardhii","Planktothrix; Planktothrix agardhii; Planktothrix compressa; Planktothrix isothrix; Planktothrix suspensa","","",""
"Cyanobacteria","","Cyanophyceae","Oscillatoriophycidae","Oscillatoriales","Microcoleaceae","Trichodesmium","","Ehrenberg ex Gomont, 1892","Trichodesmium","Trichodesmium lacustre","","",""
"Cyanobacteria","","Cyanophyceae","Oscillatoriophycidae","Oscillatoriales","Microcoleaceae","Tychonema","","K.Anagnostidis & J.Komárek, 1988",NA,"Tychonema; Tychonema bourrellyi","","",""
"Cyanobacteria","","Cyanophyceae","Oscillatoriophycidae","Oscillatoriales","Coleofasciculaceae","Geitlerinema","","(Anagnostidis & Komárek) Anagnostidis, 1989","Geitlerinema","Geitlerinema","","",""
"Cyanobacteria","","Cyanophyceae","Oscillatoriophycidae","Spirulinales","Spirulinaceae","Glaucospira","","G.Lagerheim, 1892","Glaucospira","Glaucospira","","",""
"Cyanobacteria","","Cyanophyceae","Synechococcophycidae","Synechococcales","Heteroleibleiniaceae","Heteroleibleinia","","(L.Geitler) L.Hoffmann, 1985","Heteroleibleinia","Heteroleibleinia","","",""
"Cyanobacteria","","Cyanophyceae","Synechococcophycidae","Synechococcales","Pseudanabaenaceae","Jaaginema","","K.Anagnostidis & J.Komárek, 1988","Jaaginema","Jaaginema; Jaaginema metaphyticum","","",""
"Cyanobacteria","","Cyanophyceae","Synechococcophycidae","Synechococcales","Leptolyngbyaceae","Leptolyngbya","","Anagnostidis & Komárek, 1988","Leptolyngbya; Leptolyngbya cartilaginea","Leptolyngbya; Leptolyngbya angustissima; Leptolyngbya boryanum; Leptolyngbya subtilis; Leptolyngbya tenuis","","","http://algaebase.org/search/genus/detail/?genus_id=i1bec1bb785adf3e0&sk=0"
"Cyanobacteria","","Cyanophyceae","Synechococcophycidae","Synechococcales","Pseudanabaenaceae","Limnothrix","","M.-E.Meffert, 1988","Limnothrix","Limnothrix; Limnothrix redekei","","",""
"Cyanobacteria","","Cyanophyceae","Synechococcophycidae","Synechococcales","Leptolyngbyaceae","Planktolyngbya","","Anagnostidis & Komárek, 1988","Planktolyngbya; Planktolyngbya contorta; Planktolyngbya limnetica","Planktolyngbya; Planktolyngbya capillaris; Planktolyngbya circumcreta; Planktolyngbya contorta; Planktolyngbya limnetica; Planktolyngbya microspira; Planktolyngbya regularis; Planktolyngbya tallingii","","",""
"Cyanobacteria","","Cyanophyceae","Synechococcophycidae","Synechococcales","Pseudanabaenaceae","Pseudanabaena","","Lauterborn, 1915","Pseudanabaena; Pseudanabaena moniliformis","Pseudanabaena; Pseudanabaena catenata; Pseudanabaena galeata; Pseudanabaena limnetica; Pseudanabaena raphidioides; Pseudanabaena recta; Pseudanabaena voronichinii","","",""
"Cyanobacteria","","Cyanophyceae","Synechococcophycidae","Synechococcales","Romeriaceae","Romeria","","M.Koczwara, 1932","Romeria","Romeria; Romeria leopoliensis; Romeria simplex","","",""
"Cyanobacteria","","Cyanophyceae","Oscillatoriophycidae","Spirulinales","Spirulinaceae","Spirulina","","Turpin ex Gomont, 1892","Spirulina; Spirulina laxa","Spirulina; Spirulina major; Spirulina minima; Spirulina subsalsa","","",""
"Cyanobacteria","","Cyanophyceae","Synechococcophycidae","Synechococcales","Merismopediaceae","Eucapsis","","F.E.Clements & H.L.Shantz, 1909","Eucapsis","Eucapsis","","",""
"Cyanobacteria","","Cyanophyceae","Synechococcophycidae","Synechococcales","Synechococcaceae","Cyanodictyon","","A.Pascher, 1914",NA,"Cyanodictyon filiforme","","",""
"Cyanobacteria","","Cyanophyceae","Synechococcophycidae","Synechococcales","Synechococcaceae","Lemmermaniella","","Hindák",NA,"Lemmermaniella","","",""
"Cyanobacteria","","Cyanophyceae","Synechococcophycidae","Synechococcales","Synechococcaceae","Cyanogranis","","F.Hindák, 1982",NA,"Cyanogranis","","",""
"Cryptophyta","","Cryptophyceae","","Pyrenomonadales","Chroomonadaceae","Chroomonas","","Hansgirg, 1885","Chroomonas; Chroomonas acuta","Chroomonas; Chroomonas acuta; Chroomonas nordstedtii; Chroomonas rosenbergii","","",""
"Cryptophyta","","Cryptophyceae","","Cryptomonadales","Cryptomonadaceae","Cryptomonas","","Ehrenberg, 1831","Cryptomonas; Cryptomonas caudata","Cryptomonas; Cryptomonas anomala; Cryptomonas curvata; Cryptomonas erosa; Cryptomonas marssonii; Cryptomonas ovata; Cryptomonas platyuris; Cryptomonas richei","","",""
"Cryptophyta","","Cryptophyceae","","Pyrenomonadales","Chroomonadaceae","Komma","","D.R.A.Hill, 1991","Komma; Komma caudata","Komma caudata","","",""
"Cryptophyta","","Cryptophyceae","","Pyrenomonadales","Geminigeraceae","Plagioselmis","","Butcher ex G.Novarino, I.A.N.Lucas & S.Morrall, 1994",NA,"Plagioselmis nannoplanctica","","",""
"Cryptophyta","","Cryptophyceae","","Pyrenomonadales","Pyrenomonadaceae","Rhodomonas","","G.Karsten, 1898",NA,"Rhodomonas; Rhodomonas lacustris","","",""
"Bacillariophyta","Coscinodiscophytina","Coscinodiscophyceae","","Aulacoseiraceae","Aulacoseiraceae","Aulacoseira","","Thwaites, 1848","Aulacoseira; Aulacoseira distans; Aulacoseira granulata; Aulacoseira italica","Aulacoseira; Aulacoseira alpigena; Aulacoseira ambigua; Aulacoseira granulata; Aulacoseira islandica; Aulacoseira italica; Aulacoseira subarctica","","","http://algaebase.org/search/genus/detail/?genus_id=u501ed47346d7b3e3&sk=0"
"Bacillariophyta","Bacillariophytina","Mediophyceae","Chaetocerotophycidae","Chaetocerotales","Chaetocerotaceae","Chaetoceros","","Ehrenberg, 1844",NA,"Chaetoceros","","","http://algaebase.org/search/genus/detail/?genus_id=W64bfbdaede3e4d2e&-session=abv4:CC2E5C920c81127EDFth25D6836A"
"Bacillariophyta","Coscinodiscophytina","Coscinodiscophyceae","Coscinodiscophycidae","Coscinodiscales","Hemidiscaceae","Actinocyclus","","Ehrenberg, 1837",NA,"Actinocyclus","","",""
"Bacillariophyta","Coscinodiscophytina","Coscinodiscophyceae","Melosirophycidae","Melosirales","Melosiraceae","Melosira","","C.Agardh, 1824","Melosira","Melosira; Melosira varians","","",""
"Bacillariophyta","Coscinodiscophytina","Coscinodiscophyceae","","Rhizosoleniales","Rhizosoleniaceae","Rhizosolenia","","Ehrenberg, 1843",NA,"Rhizosolenia","","","http://algaebase.org/search/genus/detail/?genus_id=Z6d4a131e1586dcd9&sk=0"
"Bacillariophyta","Bacillariophytina","Mediophyceae","Thalassiosirophycidae","Stephanodiscales","Stephanodiscaceae","Cyclotella","","(Kützing) Brébisson, 1838","Cyclotella; Cyclotella bodanica","Cyclotella; Cyclotella bodanica; Cyclotella meneghiniana; Cyclotella ocellata; Cyclotella stelligera","","",""
"Bacillariophyta","Bacillariophytina","Mediophyceae","Thalassiosirophycidae","Stephanodiscales","Stephanodiscaceae","Puncticulata","","H.Håkansson, 2002","Puncticulata; Puncticulata comta","Puncticulata bodanica","","",""
"Bacillariophyta","Bacillariophytina","Mediophyceae","Thalassiosirophycidae","Stephanodiscales","Stephanodiscaceae","Stephanodiscus","","Ehrenberg, 1845","Stephanodiscus","Stephanodiscus; Stephanodiscus binderanus; Stephanodiscus niagarae","","",""
"Bacillariophyta","Bacillariophytina","Bacillariophyceae","Bacillariophycidae","Mastogloiales","Achnanthaceae","Achnanthes","","Bory, 1822",NA,"Achnanthes","","","http://algaebase.org/search/genus/detail/?genus_id=q019d56f6ccc31290&-session=abv4:CC2E5C920c93d27824vx4F750510"
"Bacillariophyta","Bacillariophytina","Bacillariophyceae","Bacillariophycidae","Cocconeidales","Cocconeidaceae","Cocconeis","","Ehrenberg, 1836","Cocconeis; Cocconeis placentula lineata","Cocconeis; Cocconeis pediculus; Cocconeis placentula","","",""
"Bacillariophyta","Bacillariophytina","Bacillariophyceae","Bacillariophycidae","Cocconeidales","Achnanthidiaceae","Planothidium","","Round & L.Bukhtiyarova, 1996",NA,"Planothidium; Planothidium lanceolatum","","","http://algaebase.org/search/genus/detail/?genus_id=i05fa101de9c9d89f&-session=abv4:CC2E5C920c93d27824vx4F750510"
"Bacillariophyta","Bacillariophytina","Bacillariophyceae","Bacillariophycidae","Cocconeidales","Achnanthidiaceae","Psammothidium","","L.Buhtkiyarova & Round, 1996","Psammothidium","Psammothidium; Psammothidium curtissimum","","",""
"Bacillariophyta","Bacillariophytina","Bacillariophyceae","Bacillariophycidae","Cocconeidales","Achnanthidiaceae","Achnanthidium","","Kützing, 1844","Achnanthidium","Achnanthidium; Achnanthidium catenatum; Achnanthidium duthiei; Achnanthidium exiguum; Achnanthidium exilis; Achnanthidium gracillimum; Achnanthidium hungaricum; Achnanthidium minutissimum; Achnanthidium rivulare","","",""
"Bacillariophyta","Bacillariophytina","Bacillariophyceae","Bacillariophycidae","Cocconeidales","Achnanthidiaceae","Eucocconeis","","Cleve ex F.Meister, 1912","Eucocconeis","Eucocconeis; Eucocconeis flexella","","",""
"Bacillariophyta","Bacillariophytina","Bacillariophyceae","Bacillariophycidae","Naviculales","Amphipleuraceae","Amphipleura","","Kützing, 1844","Amphipleura","Amphipleura; Amphipleura pellucida","","","http://algaebase.org/search/genus/detail/?genus_id=dc50426eb888547d3&-session=abv4:CC2E5C920c81127EDFth25D6836A"
"Bacillariophyta","Bacillariophytina","Bacillariophyceae","Bacillariophycidae","Naviculales","Amphipleuraceae","Frustulia","","C.Agardh, 1821/Rabenhorst, 185","Frustulia","Frustulia; Frustulia rhomboides; Frustulia vulgaris","","two different genus authorities given in algaebase","http://algaebase.org/search/genus/detail/?genus_id=e4a3ed8600b905a84&sk=0"
"Bacillariophyta","Bacillariophytina","Bacillariophyceae","Bacillariophycidae","Cymbellales","Anomoeoneidaceae","Anomoeoneis","","Pfitzer, 1871",NA,"Anomoeoneis","","",""
"Bacillariophyta","Bacillariophytina","Bacillariophyceae","Bacillariophycidae","Bacillariales","Bacillariaceae","Bacillaria","","J.F.Gmelin, 1791",NA,"Bacillaria paradoxa; Bacillaria paxillifer","","","http://algaebase.org/search/genus/detail/?genus_id=J2335e6205d52bee2&-session=abv4:CC2E5C920c81127EDFth25D6836A"
"Bacillariophyta","Bacillariophytina","Bacillariophyceae","Bacillariophycidae","Bacillariales","Bacillariaceae","Cylindrotheca","","Rabenhorst, 1859","Cylindrotheca","Cylindrotheca; Cylindrotheca closterium; Cylindrotheca gracilis","","",""
"Bacillariophyta","Bacillariophytina","Bacillariophyceae","Bacillariophycidae","Bacillariales","Bacillariaceae","Denticula","","Kützing, 1844","Denticula","Denticula","","","http://algaebase.org/search/genus/detail/?genus_id=p8d6824aa41e5cfe2&sk=0"
"Bacillariophyta","Bacillariophytina","Bacillariophyceae","Bacillariophycidae","Bacillariales","Bacillariaceae","Hantzschia","","Grunow, 1877,",NA,"Hantzschia","","",""
"Bacillariophyta","Bacillariophytina","Bacillariophyceae","Bacillariophycidae","Bacillariales","Bacillariaceae","Nitzschia","","Hassall, 1845","Nitzschia","Nitzschia; Nitzschia acicularis; Nitzschia ambigua; Nitzschia amphibia; Nitzschia closterium; Nitzschia fruticosa; Nitzschia gracilis; Nitzschia inconspicua; Nitzschia laevis; Nitzschia linearis; Nitzschia microcephala; Nitzschia palea; Nitzschia reversa; Nitzschia sigmoidea; Nitzschia sinuata; Nitzschia subacicularis","","",""
"Bacillariophyta","Bacillariophytina","Bacillariophyceae","Bacillariophycidae","Bacillariales","Bacillariaceae","Tryblionella","","W.Smith, 1853","Tryblionella","Tryblionella","","",""
"Bacillariophyta","Bacillariophytina","Bacillariophyceae","Bacillariophycidae","Naviculales","Brachysiraceae","Brachysira","","Kützing, 1836","Brachysira","Brachysira; Brachysira neoexilis","","",""
"Bacillariophyta","Bacillariophytina","Bacillariophyceae","Bacillariophycidae","Thalassiophysales","Catenulaceae","Amphora","","Ehrenberg ex Kützing, 1844","Amphora","Amphora; Amphora delicatissima; Amphora libyca; Amphora pediculus; Amphora pellucida","","",""
"Bacillariophyta","Bacillariophytina","Bacillariophyceae","Bacillariophycidae","Cymbellales","Cymbellaceae","Cymbella","","C.Agardh, 1830","Cymbella","Cymbella; Cymbella lanceolata; Cymbella leptoceros; Cymbella microcephala; Cymbella turgidula","","",""
"Bacillariophyta","Bacillariophytina","Bacillariophyceae","Bacillariophycidae","Naviculales","Diadesmidaceae","Diadesmis","","Kützing, 1844",NA,"Diadesmis contenta; Diadesmis perpusilla","","",""
"Bacillariophyta","Bacillariophytina","Bacillariophyceae","Fragilariophycidae","Licmophorales","Ulnariaceae","Ctenophora","","(Grunow) D.M.Williams & Round, 1986",NA,"Ctenophora pulchella","","",""
