"algal_group12","algal_group07","phylum12","phylum07","class12","order12","order07","family12","family07","genus","sp12","sp07","class_itis","family_itis","genus_itis","kingdom_itis","order_itis","phylum_itis","subkingdom_itis","class_tsn","family_tsn","genus_tsn","kingdom_tsn","order_tsn","phylum_tsn","subkingdom_tsn","species_itis","species_tsn","division_itis","division_tsn","infrakingdom_itis","subdivision_itis","infrakingdom_tsn","subdivision_tsn","subclass_itis","superdivision_itis","subclass_tsn","superdivision_tsn","variety_itis","variety_tsn","suborder_itis","subphylum_itis","suborder_tsn","subphylum_tsn","infraclass_itis","subfamily_itis","superfamily_itis","superorder_itis","superphylum_itis","infraclass_tsn","subfamily_tsn","superfamily_tsn","superorder_tsn","superphylum_tsn","genus_id"
"Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Chroococcales","Chroococcales","Synechococcaceae","Synechococcaceae","Gloeothece","Gloeothece; Gloeothece subtilis","Gloeothece","Cyanophyceae","Chroococcaceae","Gloeothece","Bacteria","Chroococcales","Cyanobacteria","Negibacteria",602,604,703,50,603,956108,956096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
"Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Chroococcales","Chroococcales","Synechococcaceae","Synechococcaceae","Rhabdoderma","Rhabdoderma; Rhabdoderma lineare","Rhabdoderma; Rhabdoderma lineare","Cyanophyceae","Chroococcaceae","Rhabdoderma","Bacteria","Chroococcales","Cyanobacteria","Negibacteria",602,604,805,50,603,956108,956096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22
"Blue-green algae",NA,"Cyanophyta",NA,"Cyanophyceae","Chroococcales",NA,"Synechococcaceae",NA,"Rhabdogloea","Rhabdogloea; Rhabdogloea linearis; Rhabdogloea smithii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23
"Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Chroococcales","Chroococcales","Synechococcaceae","Synechococcaceae","Synechococcus","Synechococcus; Synechococcus nidulans","Synechococcus; Synechococcus linearis; Synechococcus minutus","Cyanophyceae","Chroococcaceae","Synechococcus","Bacteria","Chroococcales","Cyanobacteria","Negibacteria",602,604,773,50,603,956108,956096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
"Blue-green algae",NA,"Cyanophyta",NA,"Cyanophyceae","Nostocales",NA,"Microchaetaceae",NA,"Tolypothrix","Tolypothrix; Tolypothrix tenuis",NA,"Cyanophyceae","Scytonemataceae","Tolypothrix","Bacteria","Nostocales","Cyanobacteria","Negibacteria",602,1311,1330,50,861,956108,956096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25
"Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Nostocales","Nostocales","Nostocaceae","Nostocaceae","Anabaena","Anabaena; Anabaena aequalis; Anabaena affinis; Anabaena angstumalis; Anabaena carmichaelii; Anabaena circinalis; Anabaena compacta; Anabaena crassa; Anabaena cylindrica; Anabaena flos-aquae; Anabaena inaequalis; Anabaena lemmermannii; Anabaena limnetica; Anabaena longicellularis; Anabaena planctonica; Anabaena pseudocompacta; Anabaena sigmoidea; Anabaena smithii; Anabaena solitaria; Anabaena spiroides; Anabaena subcylindrica; Anabaena torulosa; Anabaena variabilis; Anabaena wisconsinensis","Anabaena; Anabaena affinis; Anabaena circinalis; Anabaena circinalis macrospora; Anabaena flosaquae; Anabaena smithii; Anabaena spiroides crassa; Anabaena subcylindrica; Anabaena viguieri; Anabaena wisconsinense","Cyanophyceae","Nostocaceae","Anabaena","Bacteria","Nostocales","Cyanobacteria","Negibacteria",602,1099,1100,50,861,956108,956096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26
"Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Nostocales","Nostocales","Nostocaceae","Nostocaceae","Anabaenopsis","Anabaenopsis; Anabaenopsis circularis; Anabaenopsis elenkenii; Anabaenopsis tanganyikae","Anabaenopsis; Anabaenopsis elenkinii","Cyanophyceae","Nostocaceae","Anabaenopsis","Bacteria","Nostocales","Cyanobacteria","Negibacteria",602,1099,1182,50,861,956108,956096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27
"Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Nostocales","Nostocales","Nostocaceae","Nostocaceae","Aphanizomenon","Aphanizomenon; Aphanizomenon aphanizomenoides; Aphanizomenon capricorni; Aphanizomenon flos-aquae; Aphanizomenon gracile; Aphanizomenon issatschenkoi; Aphanizomenon yezoense","Aphanizomenon; Aphanizomenon aphanizomenoides; Aphanizomenon flosaquae","Cyanophyceae","Nostocaceae","Aphanizomenon","Bacteria","Nostocales","Cyanobacteria","Negibacteria",602,1099,1191,50,861,956108,956096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28
"Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Nostocales","Nostocales","Nostocaceae","Nostocaceae","Cylindrospermopsis","Cylindrospermopsis; Cylindrospermopsis phillipinensis; Cylindrospermopsis raciborskii","Cylindrospermopsis","Cyanophyceae","Nostocaceae","Cylindrospermopsis","Bacteria","Nostocales","Cyanobacteria","Negibacteria",602,1099,203689,50,861,956108,956096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29
"Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Nostocales","Nostocales","Nostocaceae","Nostocaceae","Cylindrospermum","Cylindrospermum","Cylindrospermum","Cyanophyceae","Nostocaceae","Cylindrospermum","Bacteria","Nostocales","Cyanobacteria","Negibacteria",602,1099,1197,50,861,956108,956096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30
"Blue-green algae",NA,"Cyanophyta",NA,"Cyanophyceae","Nostocales",NA,"Nostocaceae",NA,"Dolichospermum","Dolichospermum; Dolichospermum circinale; Dolichospermum flos-aquae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31
"Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Nostocales","Nostocales","Nostocaceae","Nostocaceae","Nodularia","Nodularia","Nodularia","Cyanophyceae","Microchaetaceae","Nodularia","Bacteria","Nostocales","Cyanobacteria","Negibacteria",602,1213,1225,50,861,956108,956096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32
"Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Nostocales","Nostocales","Nostocaceae","Nostocaceae","Raphidiopsis","Raphidiopsis; Raphidiopsis curvata; Raphidiopsis mediterranea","Raphidiopsis","Cyanophyceae","Rivulariaceae","Raphidiopsis","Bacteria","Nostocales","Cyanobacteria","Negibacteria",602,1229,1290,50,861,956108,956096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33
"Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Nostocales","Oscillatoriales","Oscillatoriaceae","Phormidiaceae","Arthrospira","Arthrospira","Arthrospira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arthrospira brevis",921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34
"Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Nostocales","Nostocales","Rivulariaceae","Rivulariaceae","Calothrix","Calothrix; Calothrix aeruginea","Calothrix","Cyanophyceae","Rivulariaceae","Calothrix","Bacteria","Nostocales","Cyanobacteria","Negibacteria",602,1229,1243,50,861,956108,956096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35
"Blue-green algae","Blue-Green Algae","Cyanophyta","Cyanophyta","Cyanophyceae","Nostocales","Nostocales","Rivulariaceae","Rivulariaceae","Gloeotrichia","Gloeotrichia; Gloeotrichia echinulata; Gloeotrichia natans","Gloeotrichia","Cyanophyceae","Rivulariaceae","Gloeotrichia","Bacteria","Nostocales","Cyanobacteria","Negibacteria",602,1229,1297,50,861,956108,956096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36
