DATA_COLUMN,parameter,column_name,description
SULFATE_FLAG,sulfate,flag,Flag for Sulfate
SULFATE_HOLDING_TIME,sulfate,ht,Sample holding time for Sulfate
SULFATE_LAB_FLAG,sulfate,lab_flag,Flag from laboratory for Sulfate
SULFATE_LAB_SAMPLE_ID,sulfate,lab_sample_id,Laboratory Sample ID for Sulfate
SULFATE_MDL,sulfate,mdl,Minimum detection limit of analyte for Sulfate
SULFATE_QA_FLAG,sulfate,qa_flag,QA flag associated with sample for Sulfate
SULFATE_RESULT,sulfate,result,Analyte value for Sulfate
SULFATE_RL,sulfate,rl,Reporting limit for Sulfate
SULFATE_UNITS,sulfate,units,Units for Sulfate
TOC_BATCH_ID,toc,batch_id,Batch ID from lab for Total Organic Carbon
TOC_HOLDING_TIME,toc,ht,Sample holding time for Total Organic Carbon
TOC_RESULT,toc,result,Analyte value for Total Organic Carbon
TOC_UNITS,toc,units,Units for Total Organic Carbon
TSS_BATCH_ID,tss,batch_id,Batch ID from lab for Total Suspended Solids
TSS_DATE_ANALYZED,tss,date_analyzed,Date of sample analysis for Total Suspended Solids
TSS_FLAG,tss,flag,Flag for Total Suspended Solids
TSS_HOLDING_TIME,tss,ht,Sample holding time for Total Suspended Solids
TSS_LAB_SAMPLE_ID,tss,lab_sample_id,Laboratory Sample ID for Total Suspended Solids
TSS_MDL,tss,mdl,Minimum detection limit of analyte for Total Suspended Solids
TSS_QA_FLAG,tss,qa_flag,QA flag associated with sample for Total Suspended Solids
TSS_RESULT,tss,result,Analyte value for Total Suspended Solids
TSS_RL,tss,rl,Reporting limit for Total Suspended Solids
TSS_UNITS,tss,units,Units for Total Suspended Solids
TURB_BATCH_ID,turb,batch_id,Batch ID from lab for Turbidity
TURB_DATE_ANALYZED,turb,date_analyzed,Date of sample analysis for Turbidity
TURB_FLAG,turb,flag,Flag for Turbidity
TURB_HOLDING_TIME,turb,ht,Sample holding time for Turbidity
TURB_LAB_FLAG,turb,lab_flag,Flag from laboratory for Turbidity
TURB_LAB_SAMPLE_ID,turb,lab_sample_id,Laboratory Sample ID for Turbidity
TURB_MDL,turb,mdl,Minimum detection limit of analyte for Turbidity
TURB_QA_FLAG,turb,qa_flag,QA flag associated with sample for Turbidity
TURB_RESULT,turb,result,Analyte value for Turbidity
TURB_RL,turb,rl,Reporting limit for Turbidity
TURB_UNITS,turb,units,Units for Turbidity
