survey,indicator,dataset,data,metadata,csv_data,csv_meta
nla2007,Phytoplankton,phyto_count,"NLA 2007 Phytoplankton Soft Algae Count - Data 20091023 (CSV)(1 pg, 12 MB)","NLA 2007 Phytoplankton Soft Algae Count - Metadata 20091023 (TXT)(1 pg, 3 K)",TRUE,FALSE
nla2007,Phytoplankton,phyto_diatom,"NLA 2007 _Phytoplankton Diatom Count - Data 20091125 (CSV)(1 pg, 4 MB)","NLA 2007 Phytoplankton Diatom Count - Metadata 20091125 (TXT)(1 pg, 2 K)",TRUE,FALSE
nla2007,Phytoplankton,phyto_samp_info,"NLA 2007 Phytoplankton Sample Information - Data 20091023 (CSV)(1 pg, 223 K)","NLA 2007 Phytoplankton Sample Info - Metadata 20091023 (TXT)(1 pg, 2 K)",TRUE,FALSE
nla2007,Plankton,plank_oe_model_analysis,"NLA 2007 Plankton O/E Model Analysis - Data 20091019 (CSV)(1 pg, 2 MB)","NLA 2007 Plankton O/E Model Analysis Data - Metadata 20091019 (TXT)(1 pg, 373 B)",TRUE,FALSE
nla2007,Plankton,plank_oe_model_sites,"NLA 2007 Plankton O/E Model - Valid Sites Used 20091021 (CSV)(1 pg, 131 K)","NLA 2007 Plankton O/E Model - Valid Sites Used - Metadata 20091021 (TXT)(1 pg, 1 K)",TRUE,FALSE
nla2007,Water Chemistry,profile,"NLA 2007 Profile - Data 20091008 (CSV)(1 pg, 888 K)","NLA 2007 Profile - Metadata 20091008 (TXT)(1 pg, 650 B)",TRUE,FALSE
nla2007,Secchi,secchi,"NLA 2007 Secchi - Data 20091008 (CSV)(1 pg, 60 K)","NLA 2007 Secchi - Metadata 20091008 (TXT)(1 pg, 562 B)",TRUE,FALSE
nla2007,Site Information,site_info,"NLA 2007 Site Information - Data 20091113 (CSV)(1 pg, 980 K)","NLA 2007 Site Information - Metadata 20091113 (TXT)(1 pg, 8 K)",TRUE,FALSE
nla2007,Visual Assessment,visual_assess,"NLA 2007 Visual Assessment - Data 20091015 (CSV)(1 pg, 813 K)","NLA 2007 Visual Assessment - Metadata 10091015 (TXT)(1 pg, 7 K)",TRUE,FALSE
nla2007,Zooplankton,zoop_count,"NLA 2007 Zooplankton Count Data - 20091022 (CSV)(1 pg, 7 MB)","NLA2007 Zooplankton Count - Metadata 20091022 (TXT)(1 pg, 4 K)",TRUE,FALSE
nla2007,Zooplankton,zoopl_samp_info,"NLA 2007 Zooplankton Sample Information - Data 20091020 (CSV)(1 pg, 207 K)","NLA 2007 Zooplankton Sample Information - Metadata (TXT)(1 pg, 929 B)",TRUE,FALSE
nla2012,Algal Toxin,algal_toxin,"NLA 2012 Algal Toxins - Data (CSV)(1 pg, 225 K)","NLA 2012 Algal Toxins - Metadata (TXT)(1 pg, 2 K)",TRUE,FALSE
nla2012,Atrazine,atrazine,"NLA 2012 Atrazine - Data (CSV)(1 pg, 156 K)","NLA 2012 Atrazine - Metadata (TXT)(1 pg, 1 K)",TRUE,FALSE
nla2012,Chlorophyll-a,chla,"NLA 2012 Chlorophyll-a - Data (CSV)(1 pg, 172 K)","NLA 2012 Chlorophyll-a - Metadata (TXT)(1 pg, 3 K)",TRUE,FALSE
nla2012,All,condition,"NLA 2012 Condition Categories - Data (CSV)(1 pg, 407 K)","NLA 2012 Condition Categories - Metadata (CSV)(1 pg, 8 K)",TRUE,TRUE
nla2012,Benthic Macroinvertebrates,condition_macroinvert,"NLA 2012 Benthic Condition - Data (CSV)(1 pg, 115 K)","NLA 2012 Benthic Condition - Metadata (TXT)(1 pg, 1 K)",TRUE,FALSE
nla2012,Zooplankton,condition_zoop,"NLA 2012 Zooplankton Condition - Data (CSV)(1 pg, 116 K)","NLA 2012 Zooplankton Condition - Metadata (TXT)(1 pg, 1 K)",TRUE,FALSE
nla2012,All,key_variables,"NLA 2012 Key Variables - Data (CSV)(1 pg, 349 K)","NLA 2012 Key Variables - Metadata (TXT)(1 pg, 4 K)",TRUE,FALSE
nla2012,Benthic Macroinvertebrates,macroinvert_count,"NLA 2012 Benthic Count - Data (CSV)(1 pg, 7 MB)","NLA 2012 Benthic Count - Metadata (TXT)(1 pg, 2 K)",TRUE,FALSE
nla2012,Benthic Macroinvertebrates,macroinvert_metrics,"NLA 2012 Benthic Metrics - Data (CSV)(1 pg, 782 K)","NLA 2012 Benthic Metrics - Metadata (TXT)(1 pg, 13 K)",TRUE,FALSE
nla2012,Benthic Macroinvertebrates,macroinvert_taxa,"NLA 2012 Benthic Taxa List - Data (CSV)(1 pg, 79 K)","NLA 2012 Benthic Taxa List - Metadata (TXT)(1 pg, 1 K)",TRUE,FALSE
nla2012,Physical Habitat,phab,"NLA 2012 Phab - Data (CSV)(1 pg, 8 MB)","NLA 2012 Phab - Metadata (TXT)(1 pg, 13 K)",TRUE,FALSE
nla2012,Physical Habitat,phab_metrics,"NLA 2012 Phab Metrics - Data (CSV)(1 pg, 3 MB)","NLA 2012 Phab Metrics - Metadata (TXT)(1 pg, 62 K)",TRUE,FALSE
