"SAMPLE_TYPE","DATA_COLUMN","LABEL","LEGAL_VALUES","RANGE_HIGH","RANGE_LOW","UNITS"
"CHEM","ALUMINUM_QA_FLAG","QA flag associated with sample for Aluminum",NA,NA,NA,NA
"CHEM","ALUMINUM_RESULT","Analyte value for Aluminum",NA,NA,NA,NA
"CHEM","ALUMINUM_RL","Reporting limit for Aluminum",NA,NA,NA,NA
"CHEM","ALUMINUM_BATCH_ID","Batch ID from lab for Aluminum",NA,NA,NA,NA
"CHEM","ALUMINUM_UNITS","Units for Aluminum",NA,NA,NA,NA
"CHEM","ALUMINUM_LAB_SAMPLE_ID","Laboratory Sample ID for Aluminum",NA,NA,NA,NA
"CHEM","ALUMINUM_LAB_FLAG","Flag from laboratory for Aluminum",NA,NA,NA,NA
"CHEM","CALCIUM_DATE_ANALYZED","Date of sample analysis for Calcium",NA,NA,NA,NA
"CHEM","CALCIUM_HOLDING_TIME","Sample holding time for Calcium",NA,NA,NA,NA
"CHEM","CALCIUM_MDL","Minimum detection limit of analyte for Calcium",NA,NA,NA,NA
"CHEM","CALCIUM_QA_FLAG","QA flag associated with sample for Calcium",NA,NA,NA,NA
"CHEM","CALCIUM_RESULT","Analyte value for Calcium",NA,NA,NA,NA
"CHEM","CALCIUM_RL","Reporting limit for Calcium",NA,NA,NA,NA
"CHEM","CALCIUM_BATCH_ID","Batch ID from lab for Calcium",NA,NA,NA,NA
"CHEM","CALCIUM_FLAG","Flag for Calcium",NA,NA,NA,NA
"CHEM","CALCIUM_UNITS","Units for Calcium",NA,NA,NA,NA
"CHEM","CALCIUM_LAB_SAMPLE_ID","Laboratory Sample ID for Calcium",NA,NA,NA,NA
"CHEM","CALCIUM_LAB_FLAG","Flag from laboratory for Calcium",NA,NA,NA,NA
"CHEM","AMMONIA_N_DATE_ANALYZED","Date of sample analysis for Ammonia as N",NA,NA,NA,NA
"CHEM","AMMONIA_N_HOLDING_TIME","Sample holding time for Ammonia as N",NA,NA,NA,NA
"CHEM","AMMONIA_N_MDL","Minimum detection limit of analyte for Ammonia as N",NA,NA,NA,NA
"CHEM","AMMONIA_N_QA_FLAG","QA flag associated with sample for Ammonia as N",NA,NA,NA,NA
"CHEM","AMMONIA_N_RESULT","Analyte value for Ammonia as N",NA,NA,NA,NA
"CHEM","AMMONIA_N_RL","Reporting limit for Ammonia as N",NA,NA,NA,NA
"CHEM","AMMONIA_N_BATCH_ID","Batch ID from lab for Ammonia as N",NA,NA,NA,NA
"CHEM","AMMONIA_N_UNITS","Units for Ammonia as N",NA,NA,NA,NA
"CHEM","AMMONIA_N_LAB_SAMPLE_ID","Laboratory Sample ID for Ammonia as N",NA,NA,NA,NA
"CHEM","AMMONIA_N_LAB_FLAG","Flag from laboratory for Ammonia as N",NA,NA,NA,NA
"CHEM","DOC_DATE_ANALYZED","Date of sample analysis for Dissolved Organic Carbon",NA,NA,NA,NA
"CHEM","DOC_HOLDING_TIME","Sample holding time for Dissolved Organic Carbon",NA,NA,NA,NA
"CHEM","DOC_MDL","Minimum detection limit of analyte for Dissolved Organic Carbon",NA,NA,NA,NA
"CHEM","DOC_QA_FLAG","QA flag associated with sample for Dissolved Organic Carbon",NA,NA,NA,NA
"CHEM","DOC_RESULT","Analyte value for Dissolved Organic Carbon",NA,NA,NA,NA
"CHEM","DOC_RL","Reporting limit for Dissolved Organic Carbon",NA,NA,NA,NA
"CHEM","DOC_BATCH_ID","Batch ID from lab for Dissolved Organic Carbon",NA,NA,NA,NA
"CHEM","DOC_FLAG","Flag for Dissolved Organic Carbon",NA,NA,NA,NA
"CHEM","DOC_UNITS","Units for Dissolved Organic Carbon",NA,NA,NA,NA
"CHEM","DOC_LAB_SAMPLE_ID","Laboratory Sample ID for Dissolved Organic Carbon",NA,NA,NA,NA
"CHEM","DOC_LAB_FLAG","Flag from laboratory for Dissolved Organic Carbon",NA,NA,NA,NA
"CHEM","SODIUM_DATE_ANALYZED","Date of sample analysis for Sodium",NA,NA,NA,NA
"CHEM","SODIUM_HOLDING_TIME","Sample holding time for Sodium",NA,NA,NA,NA
"CHEM","SODIUM_MDL","Minimum detection limit of analyte for Sodium",NA,NA,NA,NA
"CHEM","SODIUM_QA_FLAG","QA flag associated with sample for Sodium",NA,NA,NA,NA
"CHEM","SODIUM_RESULT","Analyte value for Sodium",NA,NA,NA,NA
"CHEM","SODIUM_RL","Reporting limit for Sodium",NA,NA,NA,NA
"CHEM","SODIUM_BATCH_ID","Batch ID from lab for Sodium",NA,NA,NA,NA
"CHEM","SODIUM_FLAG","Flag for Sodium",NA,NA,NA,NA
"CHEM","SODIUM_UNITS","Units for Sodium",NA,NA,NA,NA
"CHEM","SODIUM_LAB_SAMPLE_ID","Laboratory Sample ID for Sodium",NA,NA,NA,NA
"CHEM","TSS_DATE_ANALYZED","Date of sample analysis for Total Suspended Solids",NA,NA,NA,NA
"CHEM","TSS_HOLDING_TIME","Sample holding time for Total Suspended Solids",NA,NA,NA,NA
"CHEM","TSS_MDL","Minimum detection limit of analyte for Total Suspended Solids",NA,NA,NA,NA
"CHEM","TSS_QA_FLAG","QA flag associated with sample for Total Suspended Solids",NA,NA,NA,NA
"CHEM","TSS_RESULT","Analyte value for Total Suspended Solids",NA,NA,NA,NA
"CHEM","TSS_RL","Reporting limit for Total Suspended Solids",NA,NA,NA,NA
"CHEM","TSS_BATCH_ID","Batch ID from lab for Total Suspended Solids",NA,NA,NA,NA
"CHEM","TSS_FLAG","Flag for Total Suspended Solids",NA,NA,NA,NA
"CHEM","TSS_UNITS","Units for Total Suspended Solids",NA,NA,NA,NA
"CHEM","TSS_LAB_SAMPLE_ID","Laboratory Sample ID for Total Suspended Solids",NA,NA,NA,NA
"CHEM","MAGNESIUM_DATE_ANALYZED","Date of sample analysis for Magnesium",NA,NA,NA,NA
"CHEM","MAGNESIUM_HOLDING_TIME","Sample holding time for Magnesium",NA,NA,NA,NA
"CHEM","MAGNESIUM_MDL","Minimum detection limit of analyte for Magnesium",NA,NA,NA,NA
"CHEM","MAGNESIUM_QA_FLAG","QA flag associated with sample for Magnesium",NA,NA,NA,NA
"CHEM","MAGNESIUM_RESULT","Analyte value for Magnesium",NA,NA,NA,NA
"CHEM","MAGNESIUM_RL","Reporting limit for Magnesium",NA,NA,NA,NA
"CHEM","MAGNESIUM_BATCH_ID","Batch ID from lab for Magnesium",NA,NA,NA,NA
"CHEM","MAGNESIUM_FLAG","Flag for Magnesium",NA,NA,NA,NA
"CHEM","MAGNESIUM_UNITS","Units for Magnesium",NA,NA,NA,NA
"CHEM","MAGNESIUM_LAB_SAMPLE_ID","Laboratory Sample ID for Magnesium",NA,NA,NA,NA
"CHEM","MAGNESIUM_LAB_FLAG","Flag from laboratory for Magnesium",NA,NA,NA,NA
"CHEM","POTASSIUM_DATE_ANALYZED","Date of sample analysis for Potassium",NA,NA,NA,NA
"CHEM","POTASSIUM_HOLDING_TIME","Sample holding time for Potassium",NA,NA,NA,NA
"CHEM","POTASSIUM_MDL","Minimum detection limit of analyte for Potassium",NA,NA,NA,NA
"CHEM","POTASSIUM_QA_FLAG","QA flag associated with sample for Potassium",NA,NA,NA,NA
"CHEM","POTASSIUM_RESULT","Analyte value for Potassium",NA,NA,NA,NA
"CHEM","POTASSIUM_RL","Reporting limit for Potassium",NA,NA,NA,NA
"CHEM","POTASSIUM_BATCH_ID","Batch ID from lab for Potassium",NA,NA,NA,NA
"CHEM","POTASSIUM_FLAG","Flag for Potassium",NA,NA,NA,NA
"CHEM","POTASSIUM_UNITS","Units for Potassium",NA,NA,NA,NA
