usgs_id,site_ID,sample_id,visit_id,visit_no,sample_category,cylindrospermopsin,microcystin,saxitoxin
MM-12382A,NLA06608-0045,505703,7528,1,P,0,0,0
MM-10722A,NLA06608-0045,502073,7529,2,P,0,0,0
MM-10715A,NLA06608-0045,514113,7529,2,D,0,0,0
MM-11647A,NLA06608-0153,512103,7626,1,P,0,0,0
MM-09234A,NLA06608-0221,506123,7674,1,P,0,0,0
MM-10714A,NLA06608-0324,511023,7737,1,P,0,0,0
MM-09232A,NLA06608-0345,515073,7755,1,P,0,0,0
MM-09233A,NLA06608-0413,506763,7789,1,P,0,0,0
MM-09839A,NLA06608-0489,504553,7828,1,P,0,1.8,0.23
MM-09838A,NLA06608-0493,506483,7831,1,P,0,0.29,0
MM-09837A,NLA06608-0541,514253,7858,1,P,0,0,0
MM-10716A,NLA06608-0580,509833,7876,1,P,0,0,0
MM-09836A,NLA06608-0749,506473,7966,1,P,0,0,0
MM-10721A,NLA06608-0989,510973,8098,1,P,0,0,0
MM-09835A,NLA06608-1005,514163,8108,1,P,0,0,0
MM-10720A,NLA06608-1348,502083,8267,1,P,0,0,0
MM-10718A,NLA06608-1517,509673,8348,1,P,0,1.7,0
MM-10717A,NLA06608-R314,509843,8865,1,P,0.15,0,0
MM-11639A,NLA06608-R315,510943,8866,1,P,0,0,0
MM-10719A,NLA06608-R318,504243,8867,1,P,0.1,0,0
MM-11640A,NLA06608-R319,516233,8868,1,P,0,0,0
MM-11641A,NLA06608-R322,511323,8870,1,P,0,0,0
MM-11642A,NLA06608-R323,516373,8871,1,P,0,0.32,0
MM-11643A,NLA06608-R324,516353,8872,1,P,0,0,0
MM-11644A,NLA06608-R326,516343,8873,1,P,0,0.2,0
MM-11645A,NLA06608-R328,511973,8874,1,P,0,0.14,0
MM-11646A,NLA06608-R333,516243,8875,1,P,0,0,0
MM-09389A,NLA06608-0038,505563,7518,1,P,0,0,0
MM-11037A,NLA06608-0038,509083,7519,2,P,0,0,0
MM-11038A,NLA06608-0038,509793,7519,2,D,0,0,0
MM-09390A,NLA06608-0113,505573,7598,1,P,0,0,0
MM-11035A,NLA06608-0177,512243,7642,1,P,0,0,0
MM-09388A,NLA06608-0294,505553,7724,1,P,0,0,0
MM-11030A,NLA06608-0369,505583,7766,1,P,0,0,0
MM-11033A,NLA06608-0433,503913,7796,1,P,0,0,0
MM-11443A,NLA06608-0806,504713,7997,1,P,0,0,0
MM-11034A,NLA06608-0982,509363,8094,1,P,0,0,0
MM-11032A,NLA06608-0997,507733,8103,1,P,0,0,0
MM-11442A,NLA06608-2086,517303,8514,1,P,0,0,0
MM-11036A,NLA06608-4252,513123,8669,1,P,0,0,0
MM-11031A,NLA06608-9999,503903,8686,1,P,0,0,0
MM-10020A,NLA06608-0033,506233,7512,1,P,0,0,0
MM-11827A,NLA06608-0033,508893,7513,2,P,0,0,0
MM-11826A,NLA06608-0033,517703,7513,2,D,0,0,0
MM-09235A,NLA06608-0081,506363,7572,1,P,0,0,0
MM-11837A,NLA06608-0081,508853,7573,2,P,0,0,0
MM-11836A,NLA06608-0081,517773,7573,2,D,0,0,0
MM-10027A,NLA06608-0086,504053,7578,1,P,0,0.44,0
MM-11839A,NLA06608-0086,517103,7579,2,P,0,0.2,0
MM-11838A,NLA06608-0086,517343,7579,2,D,0,0.3,0
MM-09366A,NLA06608-0193,506613,7654,1,P,0,0,0
MM-11842A,NLA06608-0209,517283,7666,2,P,0,0,0
MM-10021A,NLA06608-0209,506203,7665,1,D,0,0,0
MM-11841A,NLA06608-0209,517743,7666,2,D,0,0,0
MM-10019A,NLA06608-0337,506373,7748,1,P,0.35,0,0
MM-10024A,NLA06608-0449,508503,7805,1,P,0,0,0
MM-11830A,NLA06608-0529,517813,7852,1,P,0,3.5,0
MM-09365A,NLA06608-0593,506383,7886,1,P,0,0,0
MM-10023A,NLA06608-0641,508703,7915,1,P,0,0,0
MM-09236A,NLA06608-0721,506343,7953,1,P,0,0,0
MM-11834A,NLA06608-0785,512043,7987,1,P,0,0,0
MM-10025A,NLA06608-0849,513363,8022,1,P,0,0,0
MM-11822A,NLA06608-1041,511943,8126,1,P,0,0,0
MM-11820A,NLA06608-1057,511813,8133,1,P,0,0,0
MM-10022A,NLA06608-1217,506393,8207,1,P,0,0,0
MM-11835A,NLA06608-1297,517643,8246,1,P,0,0.43,0
MM-11818A,NLA06608-1425,508523,8307,1,P,0,0,0
MM-11828A,NLA06608-1489,517603,8336,1,P,0,0,0
MM-11819A,NLA06608-1617,513243,8381,1,P,0,0,0
MM-11833A,NLA06608-1873,517673,8468,1,P,0,0,0
MM-10026A,NLA06608-2134,513493,8530,1,P,0,0,0
MM-11824A,NLA06608-2193,513313,8540,1,P,0,0,0
MM-11832A,NLA06608-2241,516543,8545,1,P,0,0,0
MM-11825A,NLA06608-2257,517693,8548,1,P,0,0,0
MM-11823A,NLA06608-2513,513053,8581,1,P,0,0,0
MM-11829A,NLA06608-2753,508883,8613,1,P,0,0,0
MM-11821A,NLA06608-2833,509223,8626,1,P,0,0,0
MM-11840A,NLA06608-3153,517723,8646,1,P,0,0,0
MM-11831A,NLA06608-3265,517263,8651,1,P,0,0,0
MM-10970A,NLA06608-R10COUNCI,511353,8856,1,P,0,0,0
MM-10968A,NLA06608-R10RAINYL,508223,8860,1,P,0,0,0
MM-10969A,NLA06608-R10ULAKE,515633,8862,1,P,0,0,0
MM-10589A,NLA06608-0007,505213,7479,1,P,0,0,0
